"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2019年3月","00000","全国","126587000","","2.5","","119.3","","","","",""
"2019年4月","00000","全国","126600000","","2.6","","118.7","","","","",""
"2019年5月","00000","全国","126534000","","2.4","","119.0","","","","",""
"2019年6月","00000","全国","126612000","","2.3","","116.5","","","","",""
"2019年7月","00000","全国","126633000","","2.3","","116.5","","","","",""
"2019年8月","00000","全国","126593000","","2.3","","116.1","","","","",""
"2019年9月","00000","全国","126513000","","2.4","","117.5","","","","",""
"2019年10月","00000","全国","126555000","","2.4","","112.2","","","","",""
"2019年11月","00000","全国","126553000","","2.2","","111.5","","","","",""
"2019年12月","00000","全国","126540000","","2.1","","111.5","","","","",""
"2020年1月","00000","全国","126387000","","2.3","","110.4","","","","",""
"2020年2月","00000","全国","126409000","","2.3","","108.8","","","","",""
"2020年3月","00000","全国","126370000","","2.6","","106.1","","","","",""
"2020年4月","00000","全国","126342000","","2.8","","94.4","","","","",""
"2020年5月","00000","全国","126310000","","2.9","","87.1","","","","",""
"2020年6月","00000","全国","126279000","","2.8","","89.9","","","","",""
"2020年7月","00000","全国","126261000","","2.9","","95.2","","","","",""
"2020年8月","00000","全国","126239000","","3.0","","96.8","","","","",""
"2020年9月","00000","全国","126187000","","3.0","","99.6","","","","",""
"2020年10月","00000","全国","126146099","総務省統計局「国勢調査」による。","3.1","","103.5","","","","",""
"2020年11月","00000","全国","126106000","","2.8","","104.0","","","","",""
"2020年12月","00000","全国","126088000","","2.8","","104.1","","","","",""
"2021年1月","00000","全国","126068000","","2.9","","106.9","","","","",""
"2021年2月","00000","全国","125990000","","2.8","","106.3","","","","",""
"2021年3月","00000","全国","125917000","","2.7","","108.9","","","","",""
"2021年4月","00000","全国","125855000","","3.0","","111.1","","","","",""
"2021年5月","00000","全国","125777000","","3.1","","109.6","","","","",""
"2021年6月","00000","全国","125722000","","3.0","","110.1","","","","",""
"2021年7月","00000","全国","125682000","","2.8","","109.6","","","","",""
"2021年8月","00000","全国","125633000","","2.8","","107.0","","","","",""
"2021年9月","00000","全国","125559000","","2.8","","105.0","","","","",""
"2021年10月","00000","全国","125502000","","2.7","","106.9","","","","",""
"2021年11月","00000","全国","125443000","","2.7","","111.6","","","","",""
"2021年12月","00000","全国","125380000","","2.5","","111.5","","","","",""
"2022年1月","00000","全国","125309000","","2.7","","111.1","","","","",""
"2022年2月","00000","全国","125194000","","2.6","","111.8","","","","",""
"2022年3月","00000","全国","125103000","","2.6","","112.1","","","","",""
"2022年4月","00000","全国","125071000","","2.7","","112.2","","","","",""
"2022年5月","00000","全国","125072000","","2.8","","111.6","","","","",""
"2022年6月","00000","全国","125104000","","2.7","","113.3","","","","",""
"2022年7月","00000","全国","125125000","","2.5","","113.8","","","","",""
"2022年8月","00000","全国","125082000","","2.6","","115.0","","","","",""
"2022年9月","00000","全国","124971000","","2.7","","114.5","","","","",""
"2022年10月","00000","全国","124947000","","2.6","","113.9","","","","",""
"2022年11月","00000","全国","124913000","","2.4","","113.9","","","","",""
"2022年12月","00000","全国","124861000","","2.3","","113.3","","","","",""
"2023年1月","00000","全国","124752000","","2.4","","112.9","","","","",""
"2023年2月","00000","全国","124631000","","2.5","","114.6","","","","",""
"2023年3月","00000","全国","124567000","","2.8","","114.7","","","","",""
"2023年4月","00000","全国","124554000","","2.7","","114.7","","","","",""
"2023年5月","00000","全国","124477000","","2.7","","115.3","","","","",""
"2023年6月","00000","全国","124511000","","2.6","","115.2","","","","",""
"2023年7月","00000","全国","124517000","","2.6","","115.0","","","","",""
"2023年8月","00000","全国","124439000","","2.7","","115.2","","","","",""
"2023年9月","00000","全国","124348000","","2.6","","115.6","","","","",""
"2023年10月","00000","全国","124352000","","2.5","","115.6","","","","",""
"2023年11月","00000","全国","124342000","","2.4","","114.8","","","","",""
"2023年12月","00000","全国","124299000","","2.3","","115.9","","","","",""
"2024年1月","00000","全国","124143000","","2.4","","112.9","","","","",""
"2024年2月","00000","全国","124105000","","2.6","","112.7","","","","",""
"2024年3月","00000","全国","124003000","","2.7","","113.8","","","","",""
"2024年4月","00000","全国","124002000","","2.8","","114.6","","","","",""
"2024年5月","00000","全国","123941000","","2.8","","115.6","","","","",""
"2024年6月","00000","全国","123979000","","2.6","","114.6","","","","",""
"2024年7月","00000","全国","123975000","","2.7","","115.6","","","","",""
"2024年8月","00000","全国","123887000","","2.5","","113.9","","","","",""
"2024年9月","00000","全国","123779000","","2.5","","114.2","","","","",""
"2024年10月","00000","全国","123802000","","2.4","","115.7","","","","",""
"2024年11月","00000","全国","123784000","","2.4","","115.2","","","","",""
"2024年12月","00000","全国","123744000","","2.2","","116.3","","","","",""
"2025年1月","00000","全国","123552000","","2.3","","116.3","","","","",""
"2025年2月","00000","全国","123441000","","2.4","","117.0","","","","",""
"2025年3月","00000","全国","123420000","","2.6","","115.8","","","","",""
"2025年4月","00000","全国","123397000","","2.7","","115.7","","","","",""
"2025年5月","00000","全国","123342000","","2.6","","115.5","","","","",""
"2025年6月","00000","全国","123371000","","2.5","","115.9","","","","",""
"2025年7月","00000","全国","123367000","","2.4","","114.3","","","","",""
"2025年8月","00000","全国","123268000","","2.6","","113.2","","","","",""
"2025年9月","00000","全国","123192000","","2.6","","114.9","","","","",""
"2025年10月","00000","全国","123210000","速報","2.6","","115.9","","","","",""
"2025年11月","00000","全国","123190000","速報","2.4","","114.9","","","","",""
"2025年12月","00000","全国","123160000","速報","2.4","","114.3","","","","",""
"2026年1月","00000","全国","122950000","速報","2.6","","","","","","",""
"2026年2月","00000","全国","122860000","速報","","","","","","","",""
"2000年1-3月期","00000","全国","","","4.9","","","","132573.5","","",""
"2000年4-6月期","00000","全国","","","4.9","","","","133854.6","","",""
"2000年7-9月期","00000","全国","","","4.6","","","","132862.8","","",""
"2000年10-12月期","00000","全国","","","4.5","","","","144103.9","","",""
"2001年1-3月期","00000","全国","","","4.9","","","","135023.2","","",""
"2001年4-6月期","00000","全国","","","5.1","","","","133524.5","","",""
"2001年7-9月期","00000","全国","","","5.0","","","","130820.5","","",""
"2001年10-12月期","00000","全国","","","5.1","","","","140073.4","","",""
"2002年1-3月期","00000","全国","","","5.4","","","","130980.3","","",""
"2002年4-6月期","00000","全国","","","5.5","","","","131306.6","","",""
"2002年7-9月期","00000","全国","","","5.3","","","","130210.3","","",""
"2002年10-12月期","00000","全国","","","5.2","","","","139893.6","","",""
"2003年1-3月期","00000","全国","","","5.5","","","","129136.8","","",""
"2003年4-6月期","00000","全国","","","5.5","","","","131291.2","","",""
"2003年7-9月期","00000","全国","","","5.1","","","","129917.7","","",""
"2003年10-12月期","00000","全国","","","4.9","","","","139866.1","","",""
"2004年1-3月期","00000","全国","","","5.0","","","","131336.1","","",""
"2004年4-6月期","00000","全国","","","4.8","","","","131832.3","","",""
"2004年7-9月期","00000","全国","","","4.7","","","","131156.6","","",""
"2004年10-12月期","00000","全国","","","4.4","","","","140309.1","","",""
"2005年1-3月期","00000","全国","","","4.7","","","","131305.2","","",""
"2005年4-6月期","00000","全国","","","4.5","","","","132522.9","","",""
"2005年7-9月期","00000","全国","","","4.3","","","","131813.7","","",""
"2005年10-12月期","00000","全国","","","4.3","","","","141743.5","","",""
"2006年1-3月期","00000","全国","","","4.4","","","","132792.4","","",""
"2006年4-6月期","00000","全国","","","4.2","","","","132758.5","","",""
"2006年7-9月期","00000","全国","","","4.1","","","","131558.4","","",""
"2006年10-12月期","00000","全国","","","3.9","","","","143456.7","","",""
"2007年1-3月期","00000","全国","","","4.1","","","","135042.1","","",""
"2007年4-6月期","00000","全国","","","3.8","","","","134618.9","","",""
"2007年7-9月期","00000","全国","","","3.7","","","","132391.6","","",""
"2007年10-12月期","00000","全国","","","3.7","","","","142518.4","","",""
"2008年1-3月期","00000","全国","","","4.0","","","","134287.1","","",""
"2008年4-6月期","00000","全国","","","4.0","","","","132307.0","","",""
"2008年7-9月期","00000","全国","","","4.0","","","","129432.5","","",""
"2008年10-12月期","00000","全国","","","3.9","","","","137328.9","","",""
"2009年1-3月期","00000","全国","","","4.6","","","","123403.4","","",""
"2009年4-6月期","00000","全国","","","5.2","","","","123545.6","","",""
"2009年7-9月期","00000","全国","","","5.4","","","","121129.1","","",""
"2009年10-12月期","00000","全国","","","5.0","","","","131283.6","","",""
"2010年1-3月期","00000","全国","","","5.1","","","","124883.7","","",""
"2010年4-6月期","00000","全国","","","5.3","","","","125529.7","","",""
