"時点","地域コード","地域","完全失業率（男女計）【%】","注記","日経平均株価【円】","注記","消費者物価指数（総合）2020年基準","注記","景気動向指数（先行）2020年基準","注記"
"2024年8月","00000","全国","2.5","","38647.75","","109.1","","107.5",""
"2024年9月","00000","全国","2.5","","37919.55","","108.9","","108.6",""
"2024年10月","00000","全国","2.4","","39081.25","","109.5","","108.7",""
"2024年11月","00000","全国","2.4","","38208.03","","110.0","","107.8",""
"2024年12月","00000","全国","2.2","","39894.54","","110.7","","108.0",""
"2025年1月","00000","全国","2.3","","39572.49","","111.2","","108.1",""
"2025年2月","00000","全国","2.4","","37155.50","","110.8","","107.7",""
"2025年3月","00000","全国","2.6","","35617.56","","111.1","","107.5",""
"2025年4月","00000","全国","2.7","","36045.38","","111.5","","104.5",""
"2025年5月","00000","全国","2.6","","37965.10","","111.8","","104.6",""
"2025年6月","00000","全国","2.5","","40487.39","","111.7","","105.3",""
"2025年7月","00000","全国","2.4","","41069.82","","111.9","","106.1",""
"2025年8月","00000","全国","2.6","","42718.47","","112.1","","106.8",""
"2025年9月","00000","全国","2.6","","44932.63","","112.0","","108.0",""
"2025年10月","00000","全国","2.6","","52411.34","","112.8","","109.7",""
"2025年11月","00000","全国","2.4","","50253.91","","113.2","","109.9",""
"2025年12月","00000","全国","2.4","","50339.48","","113.0","","111.0",""
"2026年1月","00000","全国","2.6","","53322.85","","112.9","","",""
"2026年2月","00000","全国","","","58850.27","","","","",""
"2000年1-3月期","00000","全国","4.9","","","","97.3","","",""
"2000年4-6月期","00000","全国","4.9","","","","97.5","","",""
"2000年7-9月期","00000","全国","4.6","","","","97.3","","",""
"2000年10-12月期","00000","全国","4.5","","","","97.1","","",""
"2001年1-3月期","00000","全国","4.9","","","","96.8","","",""
"2001年4-6月期","00000","全国","5.1","","","","96.8","","",""
"2001年7-9月期","00000","全国","5.0","","","","96.6","","",""
"2001年10-12月期","00000","全国","5.1","","","","96.2","","",""
"2002年1-3月期","00000","全国","5.4","","","","95.5","","",""
"2002年4-6月期","00000","全国","5.5","","","","96.0","","",""
"2002年7-9月期","00000","全国","5.3","","","","95.8","","",""
"2002年10-12月期","00000","全国","5.2","","","","95.7","","",""
"2003年1-3月期","00000","全国","5.5","","","","95.3","","",""
"2003年4-6月期","00000","全国","5.5","","","","95.7","","",""
"2003年7-9月期","00000","全国","5.1","","","","95.6","","",""
"2003年10-12月期","00000","全国","4.9","","","","95.4","","",""
"2004年1-3月期","00000","全国","5.0","","","","95.2","","",""
"2004年4-6月期","00000","全国","4.8","","","","95.4","","",""
"2004年7-9月期","00000","全国","4.7","","","","95.5","","",""
"2004年10-12月期","00000","全国","4.4","","","","95.9","","",""
"2005年1-3月期","00000","全国","4.7","","","","95.2","","",""
"2005年4-6月期","00000","全国","4.5","","","","95.3","","",""
"2005年7-9月期","00000","全国","4.3","","","","95.2","","",""
"2005年10-12月期","00000","全国","4.3","","","","95.2","","",""
"2006年1-3月期","00000","全国","4.4","","","","95.1","","",""
"2006年4-6月期","00000","全国","4.2","","","","95.5","","",""
"2006年7-9月期","00000","全国","4.1","","","","95.8","","",""
"2006年10-12月期","00000","全国","3.9","","","","95.5","","",""
"2007年1-3月期","00000","全国","4.1","","","","95.0","","",""
"2007年4-6月期","00000","全国","3.8","","","","95.4","","",""
"2007年7-9月期","00000","全国","3.7","","","","95.6","","",""
"2007年10-12月期","00000","全国","3.7","","","","96.0","","",""
"2008年1-3月期","00000","全国","4.0","","","","95.9","","",""
"2008年4-6月期","00000","全国","4.0","","","","96.7","","",""
"2008年7-9月期","00000","全国","4.0","","","","97.7","","",""
"2008年10-12月期","00000","全国","3.9","","","","97.0","","",""
"2009年1-3月期","00000","全国","4.6","","","","95.8","","",""
"2009年4-6月期","00000","全国","5.2","","","","95.8","","",""
"2009年7-9月期","00000","全国","5.4","","","","95.5","","",""
"2009年10-12月期","00000","全国","5.0","","","","95.0","","",""
"2010年1-3月期","00000","全国","5.1","","","","94.9","","",""
"2010年4-6月期","00000","全国","5.3","","","","95.1","","",""
"2010年7-9月期","00000","全国","5.1","","","","94.5","","",""
"2010年10-12月期","00000","全国","4.8","","","","94.7","","",""
"2011年1-3月期","00000","全国","4.8","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","94.4","","",""
"2011年4-6月期","00000","全国","4.8","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","94.7","","",""
"2011年7-9月期","00000","全国","4.5","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","94.7","","",""
"2011年10-12月期","00000","全国","4.3","","","","94.4","","",""
"2012年1-3月期","00000","全国","4.5","","","","94.7","","",""
"2012年4-6月期","00000","全国","4.6","","","","94.8","","",""
"2012年7-9月期","00000","全国","4.3","","","","94.3","","",""
"2012年10-12月期","00000","全国","4.0","","","","94.2","","",""
"2013年1-3月期","00000","全国","4.3","","","","94.1","","",""
"2013年4-6月期","00000","全国","4.2","","","","94.6","","",""
"2013年7-9月期","00000","全国","4.0","","","","95.1","","",""
"2013年10-12月期","00000","全国","3.7","","","","95.6","","",""
"2014年1-3月期","00000","全国","3.7","","","","95.6","","",""
"2014年4-6月期","00000","全国","3.7","","","","98.0","","",""
"2014年7-9月期","00000","全国","3.6","","","","98.3","","",""
"2014年10-12月期","00000","全国","3.3","","","","98.0","","",""
"2015年1-3月期","00000","全国","3.5","","","","97.8","","",""
"2015年4-6月期","00000","全国","3.4","","","","98.5","","",""
"2015年7-9月期","00000","全国","3.4","","","","98.4","","",""
"2015年10-12月期","00000","全国","3.1","","","","98.2","","",""
"2016年1-3月期","00000","全国","3.2","","","","97.8","","",""
"2016年4-6月期","00000","全国","3.3","","","","98.1","","",""
"2016年7-9月期","00000","全国","3.1","","","","97.9","","",""
"2016年10-12月期","00000","全国","2.9","","","","98.5","","",""
"2017年1-3月期","00000","全国","2.9","","","","98.1","","",""
"2017年4-6月期","00000","全国","3.0","","","","98.5","","",""
"2017年7-9月期","00000","全国","2.8","","","","98.5","","",""
"2017年10-12月期","00000","全国","2.6","","","","99.1","","",""
"2018年1-3月期","00000","全国","2.5","","","","99.4","","",""
"2018年4-6月期","00000","全国","2.5","","","","99.2","","",""
